date,input(1million$)
201001,700.3
201002,718
201003,756.5
201004,772
201005,1110.4
201006,963.9
201007,799.4
201008,866.5
201009,753.9
201010,958.6
201011,979.7
201012,942.8
201101,837.9
201102,915.3
201103,926.4
201104,770.1
201105,877.7
201106,862.5
201107,915.7
201108,1142.1
201109,1304.7
201110,1245.4
201111,1204.7
201112,1245.2
201201,1013.9
201202,1055.6
201203,1188.4
201204,1334.2
201205,1421.5
201206,1160
201207,1232.7
201208,1193
201209,1161.2
201210,1265
201211,1093.6
201212,1057.1
201301,1074.8
201302,989.3
201303,1210.1
201304,1263
201305,1195.9
201306,1276.9
201307,1269.9
201308,1167
201309,1393.1
201310,1353.6
201311,1122.5
201312,1208.7
201401,1180.7
201402,1190.3
201403,1422.5
201404,1456.9
201405,1432.7
201406,1464.5
201407,1615.9
201408,1544.9
201409,1765.4
201410,1707.8
201411,1684
201412,1596.5
201501,1270.8
